"codigo_iccs","glosa_iccs","descripcion","inclusiones","exclusiones","notas"
"401","Robo","Sustracción u obtención ilícita de bienes mediante el uso de la fuerza o la amenaza de uso de la fuerza contra una persona con la intención de privar de esos bienes a una persona u organización de forma permanente o temporal.","Hurto con violencia; bandolerismo; robo en banda armada; aplicar todas las inclusiones enumeradas en 04011 a 04019","Robo con entrada ilícita, hurto y otros actos solamente relacionados con la propiedad (05); agresiones y amenazas (0201); posesión de dinero o bienes robados; recepción, manipulación, enajenación, venta o tráfico de bienes robados; utilización de piezas robadas para producir otros bienes; ocultamiento de bienes robados (0704); daños a la propiedad (0504); secuestro (02022); exigir un curso de acción determinado mediante amenaza escrita o verbal (02051)","87 Los bienes personales se refieren, como mínimo, a cualquier propiedad perteneciente a una persona aparte de los bienes raíces."
"4011","Robo a personas","Robo de bienes personales mediante el contacto directo con la víctima. - Robo, tal como se define en 0401.","Aplicar todas las inclusiones enumeradas en 040111 a 040119","Aplicar todas las exclusiones enumeradas en 0401","87 Los bienes personales se refieren, como mínimo, a cualquier propiedad perteneciente a una persona aparte de los bienes raíces."
"40111","Robo a personas en lugares públicos","Robo de bienes personales en un lugar público. - Robo, tal como se define en 0401. - Bienes personales, tal como se definen en la nota 87.","Robo callejero; asalto; arrebato de bolsos con uso de la fuerza","Aplicar todas las exclusiones enumeradas en 04011","87 Los bienes personales se refieren, como mínimo, a cualquier propiedad perteneciente a una persona aparte de los bienes raíces. 88 Un lugar público se refiere, como mínimo, a un lugar abierto y accesible para todos."
"40112","Robo a personas en lugares privados","Robo de bienes personales en un lugar privado. - Robo, tal como se define en 0401. - Bienes personales, tal como se definen en la nota 87.","Uso de la fuerza o amenazas de uso de la fuerza como parte de un robo con violación de domicilio","Aplicar todas las exclusiones enumeradas en 04011","87 Los bienes personales se refieren, como mínimo, a cualquier propiedad perteneciente a una persona aparte de los bienes raíces. 89 Un lugar privado se refiere, como mínimo, a un lugar utilizado exclusivamente con fines personales o para encuentros privados y donde el público no tiene libre acceso."
"40119","Otras formas de robo a personas","Robo a personas no descrito ni clasificado en las categorías 040111 y 040112. - Robo, tal como se define en 0401.","Robo a personas en distintos lugares","Aplicar todas las exclusiones enumeradas en 04011",""
"4012","Robo de objetos de valor o bienes en tránsito","Robo de bienes en tránsito. - Robo, tal como se define en 0401.","Aplicar todas las inclusiones enumeradas en 040121 y 040122","Aplicar todas las exclusiones enumeradas en 0401",""
"40121","Robo de automóviles o vehículos","Robo de un vehículo en tránsito a la persona que opera el vehículo o de sus pasajeros. - Robo, tal como se define en 0401. - Vehículo, tal como se define en la nota 49.","Secuestro de vehículos; robo de bienes de un vehículo en tránsito; robo en taxis; robo de furgonetas de seguridad; robo en trenes","Hurto de vehículos de motor o de sus piezas (05021); aplicar todas las exclusiones enumeradas en 04012","49 Un vehículo es, como mínimo, un dispositivo o estructura para el transporte de personas u objetos e incluye automóviles, motocicletas, camiones, autobuses, trenes, embarcaciones, aeronaves, bicicletas, caballos, tractores, etc."
"40129","Otras formas de robo de objetos de valor o bienes en tránsito","Robo de objetos de valor o bienes en tránsito no descrito ni clasificado en 040121. - Robo, tal como se define en 0401.","Robo de cargamentos en la carretera","Aplicar todas las exclusiones enumeradas en 04012",""
"4013","Robo a establecimientos o instituciones","Robo a establecimientos o instituciones. - Robo, tal como se define en 0401.","Aplicar todas las inclusiones enumeradas en 040131 y 040132","Aplicar todas las exclusiones enumeradas en 0401",""
"40131","Robo a instituciones financieras","Robo a instituciones financieras. - Robo, tal como se define en 0401.","Robo en bancos; robo de cajeros automáticos","Aplicar todas las exclusiones enumeradas en 04013","90 Una institución financiera es, como mínimo, un establecimiento público o privado que se dedica a la realización de transacciones financieras, por ejemplo, inversiones, préstamos y depósitos."
"40132","Robo a instituciones no financieras","Robo a instituciones no financieras. - Institución financiera, tal como se define en la nota 90. - Robo, tal como se define en 0401.","Robo en oficinas de correos; robo en gasolineras; robo en locales empresariales; robo en tiendas","Aplicar todas las exclusiones enumeradas en 04013","90 Una institución financiera es, como mínimo, un establecimiento público o privado que se dedica a la realización de transacciones financieras, por ejemplo, inversiones, préstamos y depósitos."
